nom_mpio,NOM_VEREDA,NOM_BARRIO,Count of SISBENIV_PT
CAJICÁ,GRANCOLOMBIA RURAL (CHUNUGUA),BARRIO_S4,21
CAJICÁ,MANAS VEREDA CHUNTAME,BARRIO_S4,170
CAJICÁ,PUENTE VARGAS RURAL,BARRIO_S4,91
CAJICÁ,SANTA INES,BARRIO_S4,426
CAJICÁ,SIN VEREDA,BARRIO_S4,1960
CAJICÁ,SIN VEREDA,EL CORTIJO URBANO,648
CAJICÁ,SIN VEREDA,EL ROCIO URBANO,1927
CAJICÁ,SIN VEREDA,GRANJITAS URBANO,1992
CAPARRAPÍ,BARRANQUILLAS,SIN BARRIO,133
CAPARRAPÍ,BARRIAL AMARILLO,SIN BARRIO,118
CAPARRAPÍ,CAÑABRAVAL,SIN BARRIO,111
CAPARRAPÍ,EL CHORRILLO,SIN BARRIO,156
CAPARRAPÍ,EL CURAL,SIN BARRIO,73
CAPARRAPÍ,EL PEDREGAL,SIN BARRIO,54
CAPARRAPÍ,EL POTRERO,SIN BARRIO,12
CAPARRAPÍ,LA CALACA,SIN BARRIO,66
CAPARRAPÍ,NARANJOS,SIN BARRIO,71
CAPARRAPÍ,NOVILLEROS,SIN BARRIO,228
CAPARRAPÍ,PARRI,SIN BARRIO,91
CAPARRAPÍ,PUERTO COLOMBIA,SIN BARRIO,71
CAPARRAPÍ,SABANETA,SIN BARRIO,50
CAPARRAPÍ,SALCIPUEDES,SIN BARRIO,23
CAPARRAPÍ,SAN GIL,SIN BARRIO,89
CAPARRAPÍ,SECTOR TRAPICHE,SIN BARRIO,3
CAPARRAPÍ,SIN VEREDA,LA LOMITA,47
CAPARRAPÍ,SIN VEREDA,LAS VILLAS,213
CAPARRAPÍ,SIN VEREDA,PARQUE PRINCIPAL,26
CAPARRAPÍ,SIN VEREDA,SAN JUDAS,212
CAPARRAPÍ,SIN VEREDA,SAN MARTIN,55
CAPARRAPÍ,UNION LAS PILAS,SIN BARRIO,305
CÁQUEZA,COLORADOS,BARRIO_S4,265
CÁQUEZA,EL TABLON,BARRIO_S4,246
CÁQUEZA,LA ESTRELLA,BARRIO_S4,233
CÁQUEZA,LA JABONERA,BARRIO_S4,222
CÁQUEZA,MERCADILLO II,BARRIO_S4,360
CÁQUEZA,PLACITAS,BARRIO_S4,810
CÁQUEZA,SAN VICENTE,BARRIO_S4,164
CÁQUEZA,SIN VEREDA,BARRIO_S4,26
CÁQUEZA,SIN VEREDA,CIUDAD JARDIN,709
CÁQUEZA,SIN VEREDA,EL PRADO,540
CÁQUEZA,SIN VEREDA,LAS DELICIAS,383
CÁQUEZA,SIN VEREDA,RAFAEL NUÑEZ,1037
CÁQUEZA,TAUSUTA II,BARRIO_S4,159
CÁQUEZA,UBATOQUE II,BARRIO_S4,839
CARMEN DE CARUPA,VEREDA ALTO DE MESA ,BARRIO_S4,371
CARMEN DE CARUPA,VEREDA APARTADERO,BARRIO_S4,189
CARMEN DE CARUPA,VEREDA CASA BLANCA ,BARRIO_S4,54
CARMEN DE CARUPA,VEREDA MORTIÑO ,BARRIO_S4,205
CARMEN DE CARUPA,VEREDA SAN ANTONIO,BARRIO_S4,45
CARMEN DE CARUPA,VEREDA SANTA DORA,BARRIO_S4,166
CARMEN DE CARUPA,VEREDA SANTUARIO ,BARRIO_S4,246
CARMEN DE CARUPA,VEREDA SUCRE,BARRIO_S4,163
CHAGUANÍ,LLANADAS,SIN BARRIO,305
CHAGUANÍ,LOMALARGA,SIN BARRIO,40
CHAGUANÍ,NUQUIA,SIN BARRIO,257
CHAGUANÍ,RINCON,SIN BARRIO,236
CHAGUANÍ,SIN VEREDA,LA PLAZUELA,87
CHAGUANÍ,SIN VEREDA,LAS CRUCES,109
CHÍA,FONQUETA,BARRIO_S4,1852
CABRERA,PAQUILO,BARRIO_S4,76
CABRERA,PEÑAS BLANCAS,BARRIO_S4,210
CABRERA,SANTA RITA,BARRIO_S4,345
CABRERA,SIN VEREDA,LAS BRISAS,156
CABRERA,SIN VEREDA,SAN CARLOS ,118
CACHIPAY,INSPECCION DE PEÑA NEGRA,BARRIO_S4,136
CACHIPAY,SIN VEREDA,CENTRO URBANO,3475
CACHIPAY,VEREDA CAYUNDA,BARRIO_S4,341
CACHIPAY,VEREDA EL TOLU,BARRIO_S4,534
CACHIPAY,VEREDA MESITAS DE SANTA INES,BARRIO_S4,506
CACHIPAY,VEREDA PUERTO LOPEZ,BARRIO_S4,514
CACHIPAY,VEREDA TABLANCA BAJA,BARRIO_S4,5
CACHIPAY,VEREDA TOCAREMA ALTA,BARRIO_S4,287
CAJICÁ,CALAHORRA RURAL,BARRIO_S4,449
CAJICÁ,CP CALAHORRA,BARRIO_S4,413
CAJICÁ,CP CANELON,BARRIO_S4,568
CAJICÁ,CP LA FLORIDA,BARRIO_S4,243
CAJICÁ,CP LOS PASOS,BARRIO_S4,125
CAJICÁ,CP LOS VARGAS,BARRIO_S4,480
CAJICÁ,CP PABLO HERRERA,BARRIO_S4,871
CAJICÁ,EL MISTERIO RURAL,BARRIO_S4,218
CAJICÁ,EL PRADO LA LAGUNA,BARRIO_S4,122
CAJICÁ,GRANJITAS RURAL,BARRIO_S4,570
CAJICÁ,QUEBRADA DEL CAMPO,BARRIO_S4,78
CAJICÁ,RIO FRIO LA FLORIDA,BARRIO_S4,1100
CAJICÁ,RIO FRIO LA PALMA,BARRIO_S4,1021
CAJICÁ,SIN VEREDA,CALAHORRA URBANO (EL BOHIO),877
CAJICÁ,SIN VEREDA,LA ESTACION,5410
CAJICÁ,SIN VEREDA,SANTA CRUZ,3995
CAJICÁ,TAYRONA,BARRIO_S4,326
CAPARRAPÍ,ACUAPARALES,SIN BARRIO,16
CAPARRAPÍ,ALTERON NORTE,SIN BARRIO,48
CAPARRAPÍ,ALTO DE BRISAS,SIN BARRIO,112
CAPARRAPÍ,ALTO DE CAMACHOS,SIN BARRIO,81
CAPARRAPÍ,BOCA DE MONTE DE LAJAS,SIN BARRIO,55
CAPARRAPÍ,BOCA DE MONTE SUR,SIN BARRIO,236
CAPARRAPÍ,CEDRALES,SIN BARRIO,35
CAPARRAPÍ,EL DINDE,SIN BARRIO,63
CAPARRAPÍ,EL GUADUAL,SIN BARRIO,103
