ID,Distance,Elevation
108,3324.8819593871685,3209.937105431996
109,3355.955622559011,3210.3227660982548
110,3387.0292857308536,3209.6982053009842
111,3418.1029489026964,3210.7616284438723
112,3449.1766120745388,3210.3051203842897
113,3480.2502752463815,3210.5458400063226
114,3511.3239384182243,3211.128994659588
115,3542.397601590067,3208.6652571699165
116,3573.4712647619094,3211.28177059501
117,3604.544927933752,3212.680860565234
118,3635.618591105595,3210.537642217237
119,3666.6922542774378,3209.229129517075
120,3697.76591744928,3208.4486732258893
121,3728.839580621123,3207.0073838544968
122,3759.9132437929657,3206.7791292402376
123,3790.986906964809,3206.502230981947
124,3822.0605701366517,3206.1680264387314
125,3853.134233308494,3205.77340221756
126,3884.207896480337,3205.705598730676
127,3915.2815596521796,3205.1907088845446
128,3946.3552228240223,3205.0327763527594
129,3977.4288859958647,3204.5516260403806
130,4008.5025491677075,3205.166834254689
131,4039.5762123395502,3204.4031941250964
132,4070.6498755113926,3204.545283286884
133,4101.723538683235,3205.0936867081186
134,4132.797201855078,3205.8665564372805
135,4163.870865026921,3206.0919300111377
136,4194.944528198764,3205.1613264122316
137,4226.0181913706065,3204.092862701039
138,4257.091854542448,3203.344206770641
139,4288.165517714291,3203.4447262501417
140,4319.239180886134,3203.9578077326973
141,4350.312844057977,3203.6725004640743
142,4381.38650722982,3203.609143000881
143,4412.460170401662,3204.0862250789187
144,4443.533833573505,3204.2598153650474
145,4474.607496745348,3204.078092253694
146,4505.681159917191,3204.089853690827
147,4536.754823089033,3203.9932318464375
148,4567.828486260876,3202.83220630133
149,4598.902149432719,3204.455693194789
150,4629.975812604562,3203.8850691775974
151,4661.049475776404,3204.2511469342917
152,4692.123138948246,3203.296264103106
153,4723.196802120089,3203.6856690926284
154,4754.270465291932,3203.8468925503066
155,4785.344128463775,3202.576919921084
156,4816.4177916356175,3201.673938311236
157,4847.49145480746,3201.757767355487
158,4878.565117979302,3201.620995196772
159,4909.638781151145,3201.829538653231
160,4940.712444322989,3201.7205053762723
161,4971.786107494831,3200.738717440183
162,5002.859770666674,3199.996001425411
163,5013.526115734852,3200.0037326527763
164,5022.434475482612,3200.0449228687494
165,5030.921232463636,3200.126183339493
166,5033.933433838516,3200.105245126382
167,5065.007097010359,3199.492934783021
168,5096.080760182202,3199.428511058292
169,5127.154423354044,3199.7867739241183
170,5158.228086525887,3199.740060064631
171,5189.30174969773,3200.0964014179744
172,5220.375412869573,3199.9903328210535
173,5251.4490760414155,3199.440237978757
174,5282.522739213257,3200.3948271137688
175,5313.5964023851,3199.451343663792
176,5344.670065556943,3199.827808438444
177,5375.743728728786,3199.3746424939072
178,5406.8173919006285,3198.8053174957395
179,5437.891055072471,3199.515344951429
180,5468.964718244314,3199.55304336316
181,5500.038381416156,3198.8461104173416
182,5531.112044588,3198.5854092941404
183,5562.185707759842,3198.3507675444007
184,5593.259370931685,3198.18691561637
185,5624.333034103528,3198.2553204438427
186,5655.40669727537,3198.1473446944547
187,5686.480360447213,3198.073155626452
188,5717.554023619055,3197.9205787330907
189,5748.627686790898,3197.8505089376686
190,5779.701349962741,3197.8998531371344
191,5810.775013134584,3197.759287241407
192,5841.848676306427,3197.6810592267116
193,5872.922339478269,3197.727906769749
194,5903.996002650111,3197.720130612623
195,5935.069665821954,3197.75331404118
196,5966.143328993797,3197.5126845887817
197,5997.21699216564,3197.0190527372324
198,6028.290655337482,3197.2981448073706
199,6059.364318509325,3197.344225949262
200,6090.437981681168,3197.4600647826846
201,6121.511644853011,3197.3011218440583
202,6152.5853080248535,3197.683337457334
203,6183.658971196696,3200.417968494366
204,6214.732634368539,3203.0306836149744
205,6245.806297540382,3201.9045011146227
206,6276.879960712224,3202.287852332889
207,6307.9536238840665,3199.2348219903183
208,6339.027287055909,3199.471056622057
209,6370.100950227752,3197.9021471822857
210,6401.174613399596,3197.035136380501
